id,Poster_Link,Series_Title,tag
41,"https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",The Usual Suspects,crime mystery thrillera sole survivor tell twisty event leading horrific gun battle boat began five criminal met seemingly random police lineupbryan singerkevin spaceygabriel byrnechazz palminteristephen baldwin
42,"https://m.media-amazon.com/images/M/MV5BODllNWE0MmEtYjUwZi00ZjY3LThmNmQtZjZlMjI2YTZjYmQ0XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX67_CR0,0,67,98_AL_.jpg",Léon,action crime dramamathilda yearold girl reluctantly taken léon professional assassin family murdered unusual relationship form becomes protégée learns assassin tradeluc bessonjean renogary oldmannatalie portmandanny aiello
43,"https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_UX67_CR0,0,67,98_AL_.jpg",The Lion King,animation adventure dramalion prince simba father targeted bitter uncle want ascend throne himselfroger allersrob minkoffmatthew broderickjeremy ironsjames earl jones
44,"https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",Terminator 2: Judgment Day,action scifia cyborg identical one failed kill sarah connor must protect teenage son john connor advanced powerful cyborgjames cameronarnold schwarzeneggerlinda hamiltonedward furlongrobert patrick
45,"https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_UX67_CR0,0,67,98_AL_.jpg",Nuovo Cinema Paradiso,drama romancea filmmaker recall childhood falling love picture cinema home village form deep friendship cinema projectionistgiuseppe tornatorephilippe noiretenzo cannavaleantonella attiliisa danieli
46,"https://m.media-amazon.com/images/M/MV5BZmY2NjUzNDQtNTgxNC00M2Q4LTljOWQtMjNjNDBjNWUxNmJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg",Hotaru no haka,animation drama wara young boy little sister struggle survive japan world war iiisao takahatatsutomu tatsumiayano shiraishiakemi yamaguchiyoshiko shinohara
47,"https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",Back to the Future,adventure comedy scifimarty mcfly yearold high school student accidentally sent thirty year past timetraveling delorean invented close friend eccentric scientist doc brownrobert zemeckismichael j foxchristopher lloydlea thompsoncrispin glover
48,"https://m.media-amazon.com/images/M/MV5BZGI5MjBmYzYtMzJhZi00NGI1LTk3MzItYjBjMzcxM2U3MDdiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Once Upon a Time in the West,westerna mysterious stranger harmonica join force notorious desperado protect beautiful widow ruthless assassin working railroadsergio leonehenry fondacharles bronsonclaudia cardinalejason robards
49,"https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Psycho,horror mystery thrillera phoenix secretary embezzles employer client go run check remote motel run young man domination motheralfred hitchcockanthony perkinsjanet leighvera milesjohn gavin
50,"https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX67_CR0,0,67,98_AL_.jpg",Casablanca,drama romance wara cynical expatriate american cafe owner struggle decide whether not help former lover fugitive husband escape nazi french moroccomichael curtizhumphrey bogartingrid bergmanpaul henreidclaude rain
51,"https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",Modern Times,comedy drama familythe tramp struggle live modern industrial society help young homeless womancharles chaplincharles chaplinpaulette goddardhenry bergmantiny sandford
52,"https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",City Lights,comedy drama romancewith aid wealthy erratic tippler dewyeyed tramp fallen love sightless flower girl accumulates money able help medicallycharles chaplincharles chaplinvirginia cherrillflorence leeharry myers
53,"https://m.media-amazon.com/images/M/MV5BMmExNzU2ZWMtYzUwYi00YmM2LTkxZTQtNmVhNjY0NTMyMWI2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",Capharnaüm,dramawhile serving fiveyear sentence violent crime yearold boy sue parent neglectnadine labakizain al rafeeayordanos shiferawboluwatife treasure bankolekawsar al haddad
54,"https://m.media-amazon.com/images/M/MV5BNWJhMDlmZGUtYzcxNS00NDRiLWIwNjktNDY1Mjg3ZjBkYzY0XkEyXkFqcGdeQXVyMTU4MjUwMjI@._V1_UY98_CR2,0,67,98_AL_.jpg",Ayla: The Daughter of War,biography drama historyin amidst ravage korean war sergeant süleyman stumble upon halffrozen little girl parent help sight frantic scared verge death see full summary » can ulkayerdem cançetin tekindorismail hacioglukyungjin lee
